参数一,参数二,参数三,参数四,参数五
0.0,38978,1.0,3585,13000767
1.0,10858,1.0,3215,13000257
1.0,3501,1.0,5899,13000965
0.0,43549,1.0,8147,13000826
0.0,48883,1.0,9047,13000073
1.0,25750,1.0,6707,13000085
0.0,11824,1.0,74,13000779
0.0,28426,1.0,1265,13000917
0.0,2684,1.0,4974,13000295
1.0,39860,1.0,1568,13000555
1.0,37345,1.0,4207,13000082
0.0,20189,1.0,7582,13000792
1.0,41065,1.0,1771,13000182
0.0,19225,1.0,2635,13000780
1.0,27619,1.0,2020,13000097
0.0,35440,1.0,2106,13000986
1.0,1793,1.0,1615,13000251
0.0,7745,1.0,7062,13000488
0.0,19022,1.0,235,13000024
1.0,11519,1.0,2798,13000241
0.0,39927,1.0,1225,13000087
1.0,7107,1.0,4152,13000466
1.0,27919,1.0,8105,13000928
1.0,12590,1.0,3687,13000782
0.0,37493,1.0,8419,13000037
0.0,33837,1.0,6503,13000033
0.0,43007,1.0,7687,13000289
0.0,38761,1.0,9663,13000824
0.0,34911,1.0,2376,13000934
1.0,9073,1.0,3531,13000683
1.0,49547,1.0,3461,13000368
0.0,7475,1.0,9719,13000945
1.0,18026,1.0,686,13000377
0.0,32104,1.0,3558,13000288
1.0,27443,1.0,1991,13000030
1.0,7437,1.0,6830,13000455
1.0,44841,1.0,7442,13000009
1.0,33756,1.0,1243,13000240
1.0,45509,1.0,9157,13000054
0.0,34000,1.0,754,13000488
0.0,10614,1.0,3693,13000359
1.0,42696,1.0,7016,13000705
1.0,13283,1.0,8931,13000387
1.0,42270,1.0,4323,13000083
0.0,4326,1.0,6845,13000410
0.0,13891,1.0,3308,13000596
1.0,23982,1.0,3408,13000710
0.0,31866,1.0,2549,13000212
1.0,29112,1.0,2098,13000643
0.0,42885,1.0,1916,13000059
0.0,19592,1.0,4406,13000930
1.0,13128,1.0,7397,13000871
1.0,48095,1.0,8435,13000821
1.0,21622,1.0,1521,13000305
0.0,41330,1.0,2825,13000345
0.0,40321,1.0,7555,13000626
0.0,30372,1.0,9122,13000438
1.0,14198,1.0,1307,13000806
1.0,13552,1.0,9294,13000484
1.0,38909,1.0,2220,13000661
1.0,45747,1.0,6408,13000667
1.0,17572,1.0,2421,13000603
0.0,23863,1.0,3250,13000044
1.0,3558,1.0,4190,13000030
0.0,38819,1.0,6340,13000191
1.0,23413,1.0,3373,13000661
0.0,24033,1.0,3870,13000790
0.0,2033,1.0,9241,13000715
0.0,37503,1.0,5497,13000647
1.0,2008,1.0,180,13000038
0.0,25703,1.0,6304,13000455
0.0,5734,1.0,3232,13000707
1.0,23653,1.0,7550,13000812
1.0,28079,1.0,1205,13000772
1.0,2980,1.0,7802,13000465
0.0,36223,1.0,9410,13000275
1.0,19487,1.0,6333,13000489
1.0,80,1.0,9681,13000125
0.0,42509,1.0,1277,13000423
0.0,7212,1.0,5565,13000463
0.0,18780,1.0,4004,13000316
0.0,17473,1.0,8901,13000587
1.0,27546,1.0,2162,13000012
0.0,42579,1.0,6815,13000220
0.0,33,1.0,9312,13000537
0.0,10247,1.0,5412,13000844
0.0,2312,1.0,4417,13000278
1.0,36441,1.0,9486,13000594
0.0,39803,1.0,3916,13000474
0.0,21511,1.0,4463,13000111
0.0,13197,1.0,8405,13000173
1.0,28856,1.0,5168,13000872
1.0,16427,1.0,8798,13000296
0.0,42563,1.0,7259,13000451
1.0,22150,1.0,609,13000843
0.0,22071,1.0,6091,13000997
1.0,15251,1.0,5595,13000936
1.0,27884,1.0,5773,13000758
1.0,44665,1.0,8744,13000280
1.0,46480,1.0,3694,13000896
0.0,6311,1.0,3536,13000097
0.0,34732,1.0,9866,13000606
1.0,26561,1.0,9869,13000068
0.0,7630,1.0,248,13000247
0.0,14838,1.0,2511,13000369
1.0,16709,1.0,9705,13000748
0.0,15988,1.0,1990,13000965
1.0,27288,1.0,7688,13000520
0.0,36210,1.0,271,13000773
0.0,18382,1.0,4493,13000150
0.0,43584,1.0,1803,13000905
0.0,48404,1.0,2287,13000554
0.0,48834,1.0,1434,13000473
0.0,43461,1.0,5527,13000710
1.0,48196,1.0,1719,13000897
1.0,32274,1.0,6696,13000714
1.0,46956,1.0,1352,13000528
1.0,5922,1.0,8140,13000027
0.0,32732,1.0,7,13000757
0.0,23708,1.0,2966,13000292
0.0,31416,1.0,720,13000721
1.0,30545,1.0,8547,13000620
0.0,6069,1.0,8067,13000953
0.0,27490,1.0,408,13000713
1.0,19503,1.0,2212,13000274
0.0,25505,1.0,7929,13000940
1.0,10495,1.0,9864,13000254
1.0,1894,1.0,9589,13000634
0.0,11441,1.0,7424,13000373
1.0,27472,1.0,1917,13000013
0.0,48641,1.0,9411,13000047
1.0,14285,1.0,1867,13000509
1.0,4237,1.0,2603,13000931
1.0,1060,1.0,2531,13000368
0.0,35380,1.0,8614,13000333
0.0,32691,1.0,9805,13000876
0.0,33542,1.0,7195,13000748
0.0,37084,1.0,6616,13000936
1.0,20888,1.0,6631,13000362
1.0,27393,1.0,1263,13000063
1.0,35081,1.0,7098,13000008
0.0,9071,1.0,7677,13000073
0.0,41053,1.0,4126,13000090
0.0,41071,1.0,3415,13000785
1.0,46014,1.0,2974,13000073
0.0,20118,1.0,4429,13000376
1.0,29513,1.0,3695,13000900
0.0,33073,1.0,2557,13000679
1.0,7265,1.0,7191,13000199
1.0,4437,1.0,9878,13000964
0.0,26686,1.0,1142,13000778
1.0,27149,1.0,1424,13000043
1.0,4101,1.0,1588,13000170
1.0,44275,1.0,2470,13000601
0.0,40012,1.0,8163,13000468
0.0,43651,1.0,3587,13000120
1.0,31113,1.0,1282,13000971
0.0,11106,1.0,6056,13000427
1.0,35303,1.0,4484,13000811
1.0,2628,1.0,9704,13000221
0.0,46696,1.0,304,13000567
0.0,46664,1.0,7062,13000948
0.0,5501,1.0,8978,13000935
0.0,37223,1.0,57,13000618
1.0,30125,1.0,1101,13000962
0.0,15421,1.0,3199,13000407
0.0,31856,1.0,9594,13000633
0.0,10893,1.0,9992,13000303
0.0,35228,1.0,911,13000028
0.0,34934,1.0,2654,13000650
0.0,11588,1.0,2083,13000006
1.0,35396,1.0,7196,13000762
1.0,4859,1.0,8510,13000828
1.0,23100,1.0,4204,13000592
1.0,30482,1.0,8002,13000281
0.0,22082,1.0,4499,13000336
0.0,18624,1.0,2281,13000322
0.0,34252,1.0,170,13000934
1.0,35152,1.0,4714,13000751
0.0,9232,1.0,6073,13000546
0.0,18473,1.0,7321,13000331
0.0,47381,1.0,1495,13000624
0.0,25118,1.0,3382,13000153
1.0,23335,1.0,2715,13000465
1.0,29297,1.0,131,13000376
1.0,45305,1.0,642,13000427
1.0,27538,1.0,1028,13000081
1.0,47395,1.0,3329,13000310
1.0,49575,1.0,2590,13000884
1.0,4446,1.0,2950,13000585
0.0,13563,1.0,4754,13000408
1.0,38384,1.0,3046,13000454
0.0,32627,1.0,9538,13000010
1.0,43791,1.0,7032,13000297
1.0,27603,1.0,1322,13000065
0.0,26087,1.0,1874,13000804
1.0,48845,1.0,6970,13000194
1.0,19110,1.0,4480,13000278
0.0,32844,1.0,400,13000656
0.0,47302,1.0,9484,13000858
0.0,37190,1.0,8272,13000754
1.0,42975,1.0,5735,13000915
1.0,21961,1.0,2279,13000764
1.0,31951,1.0,3923,13000134
1.0,48278,1.0,8545,13000456
1.0,27760,1.0,2004,13000021
1.0,19340,1.0,610,13000885
0.0,31063,1.0,6952,13000383
1.0,13051,1.0,7845,13000130
0.0,40100,1.0,4320,13000692
1.0,14603,1.0,2836,13000609
0.0,26269,1.0,7398,13000976
1.0,12633,1.0,8638,13000789
0.0,48788,1.0,939,13000627
0.0,44385,1.0,6116,13000633
0.0,33691,1.0,8635,13000881
1.0,20621,1.0,8451,13000892
0.0,41364,1.0,9544,13000573
1.0,27298,1.0,1770,13000040
0.0,46070,1.0,247,13000464
0.0,8827,1.0,136,13000605
0.0,49494,1.0,5729,13000796
1.0,35774,1.0,2911,13000756
1.0,28449,1.0,1394,13000461
0.0,4039,1.0,874,13000793
1.0,15544,1.0,235,13000076
0.0,25108,1.0,3187,13000244
1.0,35698,1.0,7986,13000583
1.0,27089,1.0,1785,13000015
1.0,44083,1.0,3822,13000219
0.0,17949,1.0,1928,13000744
1.0,10085,1.0,8672,13000395
1.0,5150,1.0,9901,13000270
1.0,39901,1.0,2526,13000315
1.0,18774,1.0,1237,13000206
1.0,34765,1.0,814,13000621
0.0,3498,1.0,5282,13000009
0.0,37304,1.0,8490,13000135
0.0,43555,1.0,6821,13000163
0.0,1412,1.0,1674,13000869
1.0,35769,1.0,2888,13000366
1.0,40248,1.0,7394,13000907
1.0,20543,1.0,7686,13000065
0.0,20869,1.0,1491,13000390
0.0,33759,1.0,4887,13000951
1.0,32178,1.0,9094,13000827
1.0,33367,1.0,7966,13000453
0.0,2502,1.0,3864,13000833
0.0,24202,1.0,378,13000646
1.0,7386,1.0,1441,13000503
1.0,22431,1.0,6241,13000412
0.0,14813,1.0,1788,13000321
1.0,7886,1.0,1164,13000961
1.0,37535,1.0,842,13000862
0.0,7720,1.0,4286,13000200
1.0,30847,1.0,3622,13000803
0.0,9925,1.0,2520,13000826
0.0,19800,1.0,4402,13000172
1.0,14995,1.0,553,13000487
0.0,7784,1.0,8616,13000972
0.0,46642,1.0,3426,13000820
0.0,10301,1.0,8328,13000337
1.0,4106,1.0,3411,13000583
1.0,48733,1.0,9383,13000585
1.0,34595,1.0,5034,13000734
0.0,49912,1.0,8983,13000323
1.0,20396,1.0,8564,13000223
1.0,33828,1.0,1878,13000225
1.0,49617,1.0,2389,13000972
0.0,3275,1.0,397,13000239
1.0,22035,1.0,6369,13000745
0.0,14415,1.0,8537,13000128
0.0,2908,1.0,6920,13000443
1.0,28519,1.0,2634,13000599
1.0,6049,1.0,4809,13000009
1.0,18422,1.0,6785,13000386
0.0,8238,1.0,3485,13000944
0.0,34203,1.0,7160,13000768
0.0,46426,1.0,1975,13000436
0.0,46302,1.0,224,13000883
0.0,21950,1.0,7136,13000230
0.0,32764,1.0,8954,13000529
0.0,21056,1.0,3128,13000174
1.0,9254,1.0,1922,13000358
0.0,22370,1.0,9056,13000553
1.0,43629,1.0,2537,13000089
0.0,25708,1.0,3695,13000204
0.0,11568,1.0,2677,13000654
0.0,23372,1.0,2522,13000043
0.0,47885,1.0,4167,13000193
1.0,27114,1.0,2096,13000001
1.0,12483,1.0,3147,13000386
1.0,21040,1.0,4442,13000394
1.0,33096,1.0,4667,13000962
0.0,38774,1.0,4505,13000579
1.0,45219,1.0,6305,13000367
0.0,23639,1.0,5947,13000233
0.0,49859,1.0,3680,13000242
0.0,747,1.0,6962,13000752
1.0,3230,1.0,3560,13000629
1.0,14826,1.0,4766,13000386
1.0,26945,1.0,7403,13000190
1.0,46431,1.0,4025,13000847
0.0,45997,1.0,5917,13000131
1.0,11622,1.0,6633,13000082
1.0,24217,1.0,649,13000995
0.0,7311,1.0,8839,13000553
1.0,3295,1.0,2372,13000246
1.0,28861,1.0,1604,13000804
1.0,27300,1.0,1183,13000045
1.0,37964,1.0,4843,13000919
0.0,35728,1.0,9256,13000964
0.0,5335,1.0,6059,13000187
1.0,23518,1.0,4547,13000926
0.0,42144,1.0,681,13000406
1.0,8884,1.0,840,13000923
0.0,48657,1.0,5761,13000269
1.0,27479,1.0,2369,13000065
1.0,35096,1.0,2094,13000648
0.0,43115,1.0,788,13000801
1.0,44057,1.0,2586,13000665
0.0,21500,1.0,4019,13000585
0.0,5249,1.0,250,13000350
1.0,30598,1.0,4166,13000576
1.0,45199,1.0,6671,13000674
1.0,26121,1.0,6236,13000496
0.0,12051,1.0,197,13000774
0.0,14515,1.0,7796,13000611
1.0,33118,1.0,3120,13000447
0.0,9223,1.0,4749,13000626
0.0,996,1.0,7646,13000403
1.0,27869,1.0,2388,13000060
0.0,22252,1.0,9925,13000015
1.0,19266,1.0,9778,13000335
1.0,25649,1.0,9734,13000416
1.0,4456,1.0,2792,13000972
1.0,21646,1.0,2392,13000944
1.0,35284,1.0,6022,13000585
0.0,6832,1.0,758,13000335
0.0,15267,1.0,848,13000919
1.0,43796,1.0,5706,13000179
0.0,2188,1.0,3004,13000100
1.0,27289,1.0,1958,13000028
0.0,39785,1.0,9542,13000459
1.0,24219,1.0,9327,13000172
1.0,22543,1.0,5176,13000821
1.0,1515,1.0,3145,13000024
0.0,4938,1.0,9476,13000132
0.0,19342,1.0,4757,13000425
1.0,27883,1.0,1880,13000002
0.0,44125,1.0,9259,13000515
0.0,30215,1.0,8300,13000939
0.0,47601,1.0,6168,13000518
1.0,27176,1.0,1158,13000059
0.0,20894,1.0,2200,13000315
0.0,31222,1.0,6022,13000837
0.0,42393,1.0,4289,13000765
0.0,9105,1.0,1078,13000243
1.0,30177,1.0,4723,13000999
0.0,15293,1.0,6524,13000156
1.0,8758,1.0,5210,13000830
1.0,38285,1.0,3011,13000314
0.0,30255,1.0,5211,13000043
1.0,27631,1.0,6481,13000799
1.0,31153,1.0,9039,13000504
1.0,37942,1.0,5947,13000245
0.0,33376,1.0,4764,13000108
1.0,21511,1.0,2727,13000602
1.0,13934,1.0,2465,13000024
0.0,20384,1.0,2492,13000412
1.0,25023,1.0,459,13000296
0.0,591,1.0,2216,13000540
0.0,43043,1.0,4522,13000617
1.0,17908,1.0,8238,13000520
0.0,29088,1.0,6348,13000122
0.0,37771,1.0,4661,13000927
1.0,27290,1.0,2022,13000048
0.0,47949,1.0,7309,13000815
1.0,22073,1.0,3326,13000494
1.0,27268,1.0,2170,13000042
1.0,1914,1.0,802,13000546
1.0,40257,1.0,7632,13000087
1.0,41931,1.0,8985,13000639
0.0,34655,1.0,5782,13000069
0.0,13406,1.0,8570,13000452
1.0,27319,1.0,1829,13000098
0.0,33522,1.0,4438,13000135
1.0,27539,1.0,1050,13000003
0.0,18837,1.0,8237,13000662
0.0,878,1.0,3883,13000248
1.0,21114,1.0,7584,13000060
1.0,44356,1.0,1072,13000862
0.0,24374,1.0,3999,13000441
1.0,45009,1.0,7205,13000042
1.0,21516,1.0,2861,13000335
