参数一,参数二,参数三,参数四,参数五
0.0,5056546,1.0,42547,1.0
1.0,9663444,1.0,67126,2.0
1.0,27818,1.0,34635,1.0
0.0,6600966,1.0,53835,0.0
1.0,1453557,1.0,28356,1.0
0.0,6654674,1.0,31890,2.0
0.0,9899330,1.0,19674,0.0
0.0,6618675,1.0,15188,2.0
1.0,3940762,1.0,72913,1.0
1.0,744928,1.0,76463,1.0
1.0,7240868,1.0,27342,0.0
0.0,5477577,1.0,26435,1.0
0.0,807562,1.0,39222,2.0
1.0,9475288,1.0,69693,0.0
1.0,9574726,1.0,42931,0.0
0.0,9004099,1.0,89849,1.0
1.0,4084843,1.0,82043,0.0
0.0,7380747,1.0,52253,2.0
1.0,6582,1.0,34326,0.0
1.0,5134376,1.0,68930,0.0
1.0,1452103,1.0,75642,1.0
0.0,2740936,1.0,52757,1.0
1.0,27347,1.0,77039,1.0
0.0,5488036,1.0,72803,1.0
0.0,7515282,1.0,97043,1.0
1.0,5923528,1.0,71734,0.0
0.0,269953,1.0,68819,1.0
0.0,8728310,1.0,88594,1.0
1.0,1808420,1.0,94842,1.0
1.0,8763554,1.0,37397,1.0
1.0,2313578,1.0,81384,2.0
0.0,5367628,1.0,60451,1.0
0.0,9268737,1.0,96716,0.0
1.0,8086201,1.0,68216,0.0
0.0,1342319,1.0,42471,1.0
1.0,8789713,1.0,34620,2.0
0.0,4380714,1.0,754,0.0
0.0,7540736,1.0,91441,2.0
1.0,557655,1.0,26215,2.0
1.0,27758,1.0,2837,1.0
0.0,1438558,1.0,22379,0.0
1.0,5741136,1.0,33131,0.0
0.0,1853453,1.0,23275,0.0
0.0,1489226,1.0,70868,1.0
1.0,5035244,1.0,29366,2.0
0.0,3605456,1.0,63762,0.0
0.0,737819,1.0,83438,2.0
1.0,3901523,1.0,16876,0.0
1.0,6133890,1.0,23913,2.0
1.0,4785125,1.0,61357,2.0
0.0,5937283,1.0,28191,1.0
0.0,5132968,1.0,18511,2.0
0.0,7678700,1.0,42713,0.0
1.0,27068,1.0,79061,1.0
1.0,6385265,1.0,89789,1.0
1.0,7273814,1.0,91293,1.0
0.0,4675918,1.0,75961,2.0
0.0,7393346,1.0,63490,2.0
0.0,726743,1.0,72291,2.0
0.0,7759446,1.0,13456,2.0
1.0,5483764,1.0,50852,2.0
1.0,6750329,1.0,74716,0.0
0.0,8766055,1.0,60385,2.0
1.0,6226526,1.0,96173,0.0
1.0,203613,1.0,26208,1.0
0.0,9832449,1.0,19022,0.0
1.0,9225199,1.0,42695,1.0
1.0,1661513,1.0,64665,1.0
1.0,3625934,1.0,23480,1.0
1.0,8152810,1.0,15116,0.0
1.0,1087625,1.0,22325,2.0
1.0,3472947,1.0,3575,2.0
0.0,7619129,1.0,43952,1.0
1.0,5353922,1.0,6559,0.0
1.0,27484,1.0,34826,1.0
0.0,2247463,1.0,37576,1.0
0.0,9156579,1.0,72892,2.0
0.0,7943904,1.0,29994,2.0
1.0,175363,1.0,79481,1.0
1.0,27768,1.0,84899,1.0
1.0,1575560,1.0,77820,0.0
0.0,5522885,1.0,19134,0.0
0.0,5214657,1.0,81442,2.0
1.0,7398700,1.0,48658,1.0
1.0,4530401,1.0,78519,0.0
1.0,487766,1.0,55722,1.0
1.0,282202,1.0,98767,1.0
0.0,1304407,1.0,76304,2.0
1.0,27714,1.0,97981,1.0
1.0,9555458,1.0,33767,2.0
1.0,272744,1.0,78532,0.0
1.0,27778,1.0,36365,1.0
0.0,4780870,1.0,66289,1.0
1.0,567605,1.0,49757,1.0
0.0,7206226,1.0,17910,1.0
0.0,4746625,1.0,77338,2.0
0.0,6996105,1.0,47874,2.0
1.0,7393596,1.0,8436,1.0
0.0,4231991,1.0,2821,1.0
0.0,7768787,1.0,12090,2.0
1.0,3614242,1.0,43815,1.0
0.0,2665007,1.0,21945,2.0
0.0,639642,1.0,38340,0.0
0.0,2206353,1.0,72821,2.0
1.0,2777138,1.0,8977,2.0
0.0,1376426,1.0,84928,1.0
1.0,9911571,1.0,67891,1.0
1.0,27632,1.0,68462,1.0
0.0,7050507,1.0,67794,2.0
1.0,2189777,1.0,64822,1.0
1.0,5783590,1.0,980,1.0
1.0,7945526,1.0,31238,1.0
0.0,3938361,1.0,83638,1.0
1.0,9453384,1.0,3916,2.0
1.0,4047453,1.0,13478,1.0
0.0,6291610,1.0,25186,1.0
0.0,8426626,1.0,47662,1.0
0.0,5778706,1.0,5249,1.0
1.0,5801516,1.0,42988,0.0
0.0,695950,1.0,9551,0.0
1.0,3599873,1.0,27154,1.0
0.0,8440957,1.0,44391,1.0
0.0,1724927,1.0,77160,2.0
1.0,27342,1.0,54703,1.0
1.0,27150,1.0,15993,1.0
1.0,7515574,1.0,88615,1.0
0.0,786942,1.0,48644,0.0
1.0,8330208,1.0,15901,0.0
1.0,8305404,1.0,6753,2.0
1.0,5800689,1.0,65821,1.0
1.0,7155256,1.0,93337,0.0
0.0,9074751,1.0,1482,2.0
