参数一,参数二,参数三,参数四,参数五
0.0,8379,1.0,83193,13000512
1.0,3035,1.0,14687,13000866
1.0,27558,1.0,12045,13000030
0.0,22920,1.0,33731,13000163
1.0,14709,1.0,10940,13000434
1.0,32858,1.0,58040,13000641
1.0,16415,1.0,19185,13000865
1.0,5207,1.0,80567,13000383
1.0,44782,1.0,17960,13000191
1.0,23254,1.0,70730,13000690
1.0,35464,1.0,50182,13000071
0.0,33417,1.0,86354,13000151
0.0,20243,1.0,16600,13000506
1.0,37632,1.0,10846,13000226
1.0,37759,1.0,82801,13000538
1.0,11256,1.0,14662,13000829
1.0,27382,1.0,86866,13000966
1.0,27457,1.0,87228,13000919
1.0,26941,1.0,93292,13000307
1.0,24364,1.0,85032,13000792
1.0,46468,1.0,56691,13000681
1.0,27221,1.0,89208,13000939
1.0,27962,1.0,82344,13000977
1.0,25242,1.0,17158,13000694
0.0,24292,1.0,37356,13000838
0.0,14503,1.0,62925,13000096
1.0,27015,1.0,89058,13000994
1.0,16523,1.0,678,13000417
1.0,28743,1.0,99402,13000105
1.0,37467,1.0,64451,13000367
1.0,14254,1.0,20525,13000314
1.0,27848,1.0,89277,13000939
1.0,46386,1.0,46402,13000290
0.0,21167,1.0,49858,13000956
0.0,18288,1.0,96506,13000170
1.0,16154,1.0,78668,13000203
0.0,48095,1.0,75790,13000571
0.0,18385,1.0,42386,13000617
0.0,40119,1.0,77086,13000442
1.0,13394,1.0,52407,13000625
1.0,33516,1.0,41446,13000900
0.0,34893,1.0,45100,13000378
1.0,24713,1.0,77122,13000318
0.0,38293,1.0,95398,13000887
1.0,48522,1.0,11348,13000200
0.0,42428,1.0,55069,13000314
0.0,32568,1.0,74229,13000435
1.0,27649,1.0,75774,13000935
0.0,37619,1.0,1918,13000820
0.0,40134,1.0,58601,13000794
0.0,16570,1.0,83121,13000617
0.0,9295,1.0,85300,13000541
1.0,40040,1.0,24170,13000032
0.0,1793,1.0,17282,13000004
1.0,3963,1.0,31710,13000236
0.0,35843,1.0,79441,13000351
1.0,25891,1.0,19763,13000197
1.0,27006,1.0,83737,13000952
1.0,25836,1.0,6820,13000528
1.0,2188,1.0,55738,13000240
0.0,32967,1.0,74663,13000834
0.0,28450,1.0,98977,13000951
0.0,35125,1.0,16443,13000242
0.0,43,1.0,37305,13000857
1.0,27393,1.0,87612,13000907
1.0,43872,1.0,40096,13000728
0.0,30395,1.0,84165,13000321
0.0,21810,1.0,54986,13000745
1.0,28742,1.0,99866,13000826
0.0,17130,1.0,1871,13000061
1.0,33032,1.0,9957,13000942
0.0,1254,1.0,62076,13000296
1.0,27242,1.0,79311,13000980
0.0,32332,1.0,99564,13000808
1.0,7436,1.0,35851,13000896
1.0,27138,1.0,81847,13000971
1.0,27798,1.0,84353,13000981
0.0,20394,1.0,73362,13000933
0.0,19396,1.0,20098,13000760
0.0,34883,1.0,66647,13000932
1.0,39391,1.0,69807,13000402
0.0,10906,1.0,58415,13000368
0.0,26287,1.0,19956,13000493
0.0,22666,1.0,37597,13000224
1.0,14452,1.0,89950,13000899
1.0,36704,1.0,80907,13000591
1.0,43600,1.0,48127,13000491
1.0,27115,1.0,80490,13000917
1.0,24545,1.0,14343,13000675
1.0,35741,1.0,70667,13000274
0.0,13063,1.0,39953,13000092
1.0,24256,1.0,3150,13000162
0.0,490,1.0,85034,13000233
1.0,7502,1.0,5070,13000362
1.0,49099,1.0,73546,13000620
0.0,44103,1.0,33836,13000261
1.0,13346,1.0,66551,13000716
1.0,15368,1.0,56964,13000961
0.0,23033,1.0,83815,13000363
1.0,25754,1.0,36379,13000133
0.0,43342,1.0,51647,13000089
0.0,965,1.0,28201,13000377
1.0,16559,1.0,16100,13000104
1.0,12893,1.0,27226,13000244
1.0,4169,1.0,24100,13000372
0.0,46077,1.0,86094,13000402
0.0,11588,1.0,36584,13000706
0.0,18986,1.0,9108,13000365
1.0,27645,1.0,15758,13000054
1.0,47808,1.0,35345,13000862
0.0,18340,1.0,31166,13000163
0.0,27519,1.0,44144,13000590
0.0,48894,1.0,27502,13000055
0.0,30673,1.0,88798,13000864
0.0,32620,1.0,94729,13000918
0.0,1326,1.0,51576,13000548
1.0,26822,1.0,48114,13000151
0.0,34857,1.0,10116,13000711
1.0,49840,1.0,44829,13000896
0.0,15395,1.0,57804,13000404
1.0,11272,1.0,52460,13000346
1.0,27065,1.0,81804,13000972
1.0,27738,1.0,78525,13000968
1.0,27708,1.0,79732,13000986
0.0,47367,1.0,39383,13000337
1.0,17513,1.0,11208,13000866
1.0,32362,1.0,761,13000004
1.0,26398,1.0,73240,13000981
1.0,41120,1.0,14193,13000775
1.0,19403,1.0,35889,13000209
1.0,10515,1.0,78034,13000290
0.0,8831,1.0,17095,13000769
1.0,21433,1.0,51457,13000481
0.0,30420,1.0,12255,13000558
1.0,8807,1.0,52149,13000986
0.0,13664,1.0,13936,13000295
1.0,33526,1.0,23111,13000584
1.0,1117,1.0,15826,13000754
1.0,25217,1.0,37865,13000031
1.0,27714,1.0,82846,13000927
1.0,27771,1.0,38588,13000466
1.0,14923,1.0,29790,13000860
1.0,27269,1.0,85776,13000920
1.0,28921,1.0,77890,13000848
0.0,14084,1.0,95528,13000374
0.0,8259,1.0,38882,13000019
1.0,12878,1.0,29178,13000749
0.0,34172,1.0,69320,13000599
1.0,23239,1.0,21151,13000149
0.0,47472,1.0,65092,13000886
0.0,21256,1.0,40688,13000967
0.0,47677,1.0,55450,13000200
0.0,24174,1.0,3253,13000681
0.0,25480,1.0,50164,13000459
0.0,47241,1.0,70776,13000480
1.0,29913,1.0,27388,13000729
0.0,49817,1.0,35784,13000253
0.0,20691,1.0,90000,13000674
1.0,46363,1.0,54590,13000332
0.0,42587,1.0,91695,13000777
1.0,27172,1.0,80667,13000910
0.0,4388,1.0,97712,13000733
0.0,14660,1.0,65554,13000391
1.0,27004,1.0,80647,13000943
0.0,46578,1.0,22870,13000158
0.0,15241,1.0,73526,13000127
1.0,14335,1.0,62077,13000034
1.0,27377,1.0,83443,13000996
1.0,45103,1.0,82312,13000217
1.0,42207,1.0,29534,13000124
1.0,48954,1.0,27539,13000077
0.0,7958,1.0,82386,13000691
0.0,47109,1.0,28420,13000571
1.0,5562,1.0,48003,13000335
0.0,24905,1.0,58254,13000568
0.0,38634,1.0,30031,13000369
0.0,3488,1.0,37761,13000411
0.0,33360,1.0,58079,13000011
1.0,27766,1.0,86594,13000917
0.0,41143,1.0,37062,13000354
1.0,32937,1.0,23236,13000480
1.0,35189,1.0,42315,13000286
1.0,21311,1.0,25618,13000720
1.0,32298,1.0,59377,13000182
1.0,27992,1.0,85449,13000960
1.0,47013,1.0,40524,13000192
0.0,44874,1.0,16164,13000163
0.0,9610,1.0,46465,13000079
0.0,8083,1.0,49036,13000336
0.0,38521,1.0,97974,13000698
1.0,8003,1.0,57192,13000692
0.0,9954,1.0,55391,13000618
0.0,40248,1.0,33675,13000186
0.0,6660,1.0,5140,13000260
1.0,18158,1.0,27959,13000289
1.0,27866,1.0,16503,13000086
1.0,27748,1.0,81236,13000930
1.0,521,1.0,70464,13000679
1.0,39910,1.0,78272,13000908
0.0,1025,1.0,40945,13000563
1.0,40120,1.0,13743,13000735
1.0,23419,1.0,45371,13000810
1.0,19121,1.0,14524,13000969
1.0,49954,1.0,16676,13000875
1.0,22180,1.0,86708,13000444
1.0,27314,1.0,78707,13000917
0.0,4934,1.0,27795,13000256
1.0,27651,1.0,80933,13000901
0.0,9953,1.0,64417,13000087
0.0,15008,1.0,10298,13000062
1.0,27543,1.0,76205,13000982
1.0,21079,1.0,54320,13000500
0.0,32602,1.0,778,13000461
0.0,8168,1.0,47816,13000474
0.0,14552,1.0,57765,13000827
0.0,12443,1.0,87272,13000966
1.0,3767,1.0,62391,13000378
0.0,23736,1.0,91089,13000618
0.0,1727,1.0,83703,13000437
1.0,34289,1.0,88594,13000217
0.0,39499,1.0,94494,13000925
1.0,13304,1.0,90133,13000723
1.0,1313,1.0,27956,13000646
1.0,23706,1.0,49521,13000429
0.0,13404,1.0,36841,13000248
1.0,27042,1.0,78707,13000923
1.0,7415,1.0,20713,13000317
1.0,27118,1.0,87690,13000921
1.0,27257,1.0,11103,13000076
0.0,6080,1.0,84561,13000103
1.0,37017,1.0,94860,13000274
0.0,31695,1.0,34726,13000677
1.0,1410,1.0,14281,13000191
1.0,32350,1.0,97872,13000764
1.0,21103,1.0,91884,13000462
0.0,47591,1.0,35819,13000293
1.0,27922,1.0,88311,13000965
0.0,8827,1.0,3463,13000473
1.0,12034,1.0,59660,13000430
1.0,27271,1.0,93901,13000989
1.0,7343,1.0,58610,13000279
0.0,16810,1.0,81572,13000896
0.0,8829,1.0,43208,13000112
1.0,38983,1.0,34853,13000330
0.0,22095,1.0,60570,13000588
0.0,11542,1.0,32571,13000736
1.0,11767,1.0,393,13000180
1.0,8946,1.0,89450,13000598
1.0,27561,1.0,88228,13000979
0.0,4630,1.0,91395,13000600
1.0,27294,1.0,84566,13000974
1.0,5513,1.0,44766,13000346
0.0,10826,1.0,37189,13000389
1.0,15,1.0,21375,13000174
0.0,38326,1.0,83137,13000200
0.0,43697,1.0,7570,13000440
0.0,2643,1.0,81341,13000384
1.0,13515,1.0,94781,13000814
0.0,24806,1.0,73903,13000886
1.0,27764,1.0,78429,13000957
0.0,11733,1.0,15188,13000372
0.0,5357,1.0,51196,13000178
0.0,44817,1.0,91453,13000392
0.0,37362,1.0,29779,13000025
0.0,43453,1.0,36285,13000082
1.0,33885,1.0,57769,13000182
0.0,16513,1.0,27528,13000783
1.0,18334,1.0,27728,13000390
0.0,7911,1.0,89271,13000161
0.0,23488,1.0,96456,13000184
0.0,39378,1.0,43970,13000833
1.0,15861,1.0,56473,13000605
0.0,42894,1.0,45763,13000832
1.0,23437,1.0,54735,13000723
1.0,24635,1.0,72782,13000071
1.0,15299,1.0,88884,13000267
1.0,27021,1.0,82470,13000901
0.0,25451,1.0,81780,13000048
1.0,27901,1.0,79811,13000977
0.0,31379,1.0,99865,13000964
1.0,49603,1.0,69648,13000288
1.0,27853,1.0,83505,13000978
0.0,6192,1.0,85854,13000563
1.0,12249,1.0,98186,13000808
1.0,42333,1.0,78325,13000254
0.0,25445,1.0,82907,13000562
1.0,29870,1.0,31901,13000119
1.0,2147,1.0,5775,13000689
0.0,27633,1.0,28870,13000597
0.0,35362,1.0,81299,13000733
1.0,14116,1.0,61546,13000178
1.0,27369,1.0,88569,13000968
0.0,30079,1.0,37796,13000225
1.0,1132,1.0,35569,13000238
1.0,16426,1.0,86860,13000131
1.0,27095,1.0,86251,13000954
1.0,7052,1.0,85663,13000608
1.0,26397,1.0,52308,13000206
0.0,36222,1.0,62384,13000046
0.0,26498,1.0,90801,13000506
