参数一,参数二,参数三,参数四,参数五
0.0,4578104,1.0,9014,1.0
1.0,2900084,1.0,4052,2.0
0.0,8438067,1.0,5446,1.0
1.0,2385326,1.0,2839,1.0
0.0,9441793,1.0,5114,2.0
0.0,2044308,1.0,4404,2.0
1.0,1059649,1.0,5289,1.0
0.0,1909716,1.0,7634,1.0
1.0,5221790,1.0,2546,0.0
1.0,27649,1.0,2967,1.0
0.0,3829556,1.0,673,0.0
1.0,234206,1.0,1485,1.0
0.0,1541981,1.0,5642,1.0
0.0,4942516,1.0,655,1.0
0.0,5104983,1.0,6308,1.0
1.0,4423624,1.0,1091,1.0
0.0,5035442,1.0,6638,0.0
1.0,6370131,1.0,2720,2.0
1.0,27793,1.0,1768,1.0
1.0,3287862,1.0,3913,1.0
1.0,27171,1.0,711,1.0
0.0,8929382,1.0,5116,0.0
1.0,27496,1.0,5571,1.0
1.0,4954622,1.0,8921,2.0
0.0,3905989,1.0,7325,2.0
1.0,7729564,1.0,3667,1.0
0.0,3570510,1.0,3890,0.0
0.0,2024108,1.0,7073,1.0
0.0,6586633,1.0,8611,2.0
0.0,9307257,1.0,5467,0.0
0.0,5385735,1.0,8530,2.0
1.0,27145,1.0,6771,1.0
1.0,4819596,1.0,3513,2.0
1.0,2379796,1.0,2968,1.0
1.0,27982,1.0,3761,1.0
1.0,6171572,1.0,7958,2.0
0.0,1832300,1.0,2755,1.0
1.0,27072,1.0,646,1.0
1.0,4353629,1.0,1206,1.0
0.0,2786008,1.0,3081,1.0
0.0,4641635,1.0,8043,1.0
0.0,4583708,1.0,1192,2.0
1.0,6373745,1.0,4411,2.0
1.0,27253,1.0,2554,1.0
1.0,27562,1.0,9931,1.0
1.0,27720,1.0,1040,1.0
1.0,27990,1.0,8526,1.0
1.0,4940517,1.0,3300,0.0
0.0,3673072,1.0,9256,0.0
1.0,9158447,1.0,3683,0.0
1.0,27858,1.0,249,1.0
1.0,600969,1.0,4797,1.0
0.0,2581583,1.0,8125,2.0
1.0,5277617,1.0,3931,1.0
0.0,9229137,1.0,9741,1.0
0.0,6338551,1.0,9813,1.0
0.0,9315456,1.0,5135,0.0
1.0,27768,1.0,4567,1.0
1.0,7778352,1.0,7613,2.0
1.0,7099334,1.0,8635,0.0
1.0,9453917,1.0,9562,1.0
1.0,1583898,1.0,1053,1.0
1.0,27356,1.0,1992,1.0
1.0,2294731,1.0,8035,2.0
1.0,502252,1.0,5514,2.0
0.0,8612885,1.0,3390,1.0
1.0,106716,1.0,4723,1.0
1.0,27113,1.0,2238,1.0
0.0,706679,1.0,2109,0.0
0.0,9721795,1.0,425,2.0
0.0,9765345,1.0,4129,0.0
1.0,27365,1.0,342,1.0
1.0,27783,1.0,6027,1.0
0.0,945327,1.0,1507,0.0
1.0,4404976,1.0,2329,2.0
1.0,1350662,1.0,4444,1.0
1.0,27855,1.0,2877,1.0
0.0,3546713,1.0,6068,1.0
0.0,8429811,1.0,8914,2.0
1.0,27266,1.0,7378,1.0
1.0,27843,1.0,5971,1.0
1.0,1486040,1.0,5277,0.0
1.0,9130520,1.0,3847,2.0
1.0,5127263,1.0,9117,2.0
0.0,1480303,1.0,7270,0.0
0.0,9773640,1.0,2879,0.0
1.0,4534949,1.0,96,0.0
0.0,5859717,1.0,7590,1.0
1.0,27780,1.0,3608,1.0
0.0,4361376,1.0,8415,2.0
1.0,1684159,1.0,1792,1.0
1.0,27146,1.0,9110,1.0
1.0,9641672,1.0,6017,2.0
1.0,27693,1.0,5680,1.0
1.0,7828092,1.0,3973,0.0
0.0,6539546,1.0,3520,1.0
0.0,4557910,1.0,9159,0.0
0.0,93246,1.0,4452,1.0
0.0,8985630,1.0,495,1.0
0.0,4752646,1.0,2302,1.0
1.0,4402182,1.0,7561,0.0
0.0,2230629,1.0,8786,0.0
1.0,27427,1.0,5592,1.0
0.0,604604,1.0,7207,0.0
0.0,9905926,1.0,2342,0.0
1.0,27734,1.0,5650,1.0
0.0,8581090,1.0,9685,2.0
0.0,7876559,1.0,7676,1.0
1.0,27001,1.0,3518,1.0
1.0,27952,1.0,2960,1.0
1.0,27062,1.0,819,1.0
0.0,5000294,1.0,5453,0.0
1.0,3039280,1.0,6212,1.0
0.0,8131809,1.0,3555,2.0
1.0,2914205,1.0,6950,2.0
1.0,6048084,1.0,9077,0.0
0.0,1424451,1.0,8304,0.0
1.0,407090,1.0,9234,2.0
1.0,27974,1.0,4939,1.0
1.0,7212051,1.0,8172,1.0
1.0,425655,1.0,8757,2.0
1.0,925686,1.0,5464,2.0
1.0,1497540,1.0,91,1.0
0.0,4775824,1.0,4775,1.0
1.0,27913,1.0,3786,1.0
0.0,2684978,1.0,5001,1.0
0.0,1240609,1.0,5014,2.0
0.0,5574298,1.0,4680,1.0
0.0,8883215,1.0,5577,1.0
1.0,27506,1.0,6838,1.0
1.0,27003,1.0,6039,1.0
