参数一,参数二,参数三,参数四,参数五
1.0,23851,1.0,26105,13000577
0.0,43618,1.0,53331,13000451
1.0,49388,1.0,86543,13000767
0.0,43658,1.0,9521,13000008
1.0,27625,1.0,82217,13000998
1.0,27094,1.0,20390,13000035
1.0,36243,1.0,19852,13000651
0.0,26791,1.0,32981,13000427
1.0,44582,1.0,57971,13000123
1.0,45039,1.0,37562,13000443
1.0,17996,1.0,50061,13000233
0.0,35647,1.0,59597,13000356
1.0,35240,1.0,64524,13000433
1.0,2497,1.0,20048,13000823
0.0,34572,1.0,14884,13000851
0.0,28835,1.0,81909,13000500
0.0,22297,1.0,99684,13000265
0.0,35401,1.0,33529,13000317
1.0,8068,1.0,72410,13000770
1.0,8200,1.0,37649,13000126
0.0,39546,1.0,60994,13000848
1.0,29978,1.0,43902,13000733
1.0,44690,1.0,91901,13000764
0.0,46978,1.0,47759,13000217
0.0,46985,1.0,54796,13000813
1.0,39944,1.0,12057,13000471
1.0,27410,1.0,21414,13000068
0.0,14280,1.0,69416,13000137
0.0,25066,1.0,35227,13000915
1.0,27961,1.0,89417,13000931
1.0,781,1.0,92706,13000834
1.0,18242,1.0,32335,13000276
1.0,9428,1.0,31363,13000272
1.0,27788,1.0,78009,13000995
1.0,37558,1.0,41384,13000926
0.0,28959,1.0,91758,13000888
1.0,25224,1.0,27652,13000996
0.0,33049,1.0,35791,13000631
1.0,34515,1.0,44057,13000043
1.0,40182,1.0,19344,13000650
1.0,46377,1.0,95518,13000125
1.0,16359,1.0,99034,13000053
0.0,43909,1.0,17837,13000619
1.0,27640,1.0,17456,13000002
0.0,33006,1.0,37638,13000256
1.0,48413,1.0,94651,13000732
1.0,48006,1.0,14056,13000333
1.0,27634,1.0,82864,13000944
1.0,29193,1.0,58898,13000782
0.0,34035,1.0,92606,13000577
1.0,27622,1.0,85222,13000937
1.0,23270,1.0,26966,13000519
1.0,27449,1.0,78605,13000936
0.0,45564,1.0,74740,13000384
1.0,10960,1.0,12172,13000952
1.0,24024,1.0,17229,13000803
0.0,49336,1.0,91228,13000341
1.0,17279,1.0,77093,13000622
