参数一,参数二,参数三,参数四,参数五
1.0,27073,1.0,8153,1.0
1.0,1012452,1.0,7089,2.0
0.0,2201401,1.0,7002,2.0
1.0,5986066,1.0,1768,1.0
1.0,4632243,1.0,6490,1.0
1.0,27259,1.0,6767,1.0
1.0,899698,1.0,9991,2.0
0.0,1034540,1.0,6876,2.0
0.0,2131653,1.0,9682,1.0
1.0,9564244,1.0,6286,0.0
1.0,72325,1.0,190,1.0
1.0,2698752,1.0,5288,0.0
0.0,4576812,1.0,6728,1.0
1.0,6762699,1.0,3545,1.0
1.0,9883030,1.0,6256,0.0
0.0,2390433,1.0,9109,1.0
0.0,913561,1.0,3050,1.0
0.0,1682797,1.0,785,0.0
0.0,7867708,1.0,4354,0.0
1.0,7104572,1.0,6459,1.0
1.0,6710468,1.0,6069,2.0
0.0,3694459,1.0,3132,2.0
1.0,3993027,1.0,2768,0.0
1.0,8272881,1.0,1265,0.0
0.0,9976373,1.0,4174,0.0
0.0,3847531,1.0,4676,0.0
0.0,1317251,1.0,3427,0.0
1.0,8524939,1.0,9682,2.0
1.0,7455456,1.0,6211,2.0
0.0,7817635,1.0,5570,1.0
0.0,3114324,1.0,6479,0.0
0.0,9632074,1.0,400,1.0
1.0,9646832,1.0,342,1.0
1.0,8517337,1.0,34,1.0
0.0,4671998,1.0,3552,2.0
1.0,2901281,1.0,926,2.0
1.0,2615295,1.0,8497,2.0
1.0,9035491,1.0,9353,2.0
0.0,12689,1.0,6290,0.0
0.0,9448211,1.0,8784,1.0
1.0,8555654,1.0,7036,0.0
0.0,4564277,1.0,9987,1.0
1.0,9515123,1.0,6562,1.0
0.0,8249813,1.0,688,0.0
1.0,3127846,1.0,9702,0.0
1.0,9103979,1.0,200,0.0
1.0,391154,1.0,7932,2.0
0.0,9780503,1.0,5977,2.0
1.0,9169752,1.0,8026,2.0
1.0,5537618,1.0,4481,2.0
1.0,3524083,1.0,1740,0.0
0.0,9848348,1.0,257,1.0
0.0,2470919,1.0,1440,1.0
1.0,2798484,1.0,2715,2.0
1.0,3389660,1.0,6646,2.0
1.0,3183025,1.0,6014,0.0
1.0,250415,1.0,3373,2.0
1.0,1040556,1.0,610,0.0
1.0,5068603,1.0,5053,2.0
0.0,6860287,1.0,8790,2.0
1.0,27505,1.0,2326,1.0
0.0,6166474,1.0,7461,2.0
1.0,4350335,1.0,4334,0.0
0.0,7785121,1.0,4650,2.0
0.0,4289564,1.0,2851,0.0
1.0,7838639,1.0,5046,0.0
0.0,6320830,1.0,5534,0.0
1.0,7385430,1.0,8088,0.0
0.0,4395098,1.0,2835,2.0
0.0,5444058,1.0,914,0.0
1.0,3497323,1.0,8746,0.0
1.0,696973,1.0,4935,2.0
0.0,3181617,1.0,3350,0.0
0.0,276682,1.0,9467,1.0
0.0,2669249,1.0,8829,2.0
0.0,1194945,1.0,1194,2.0
1.0,5738691,1.0,711,0.0
0.0,5094921,1.0,3838,1.0
0.0,2277350,1.0,3745,0.0
0.0,9767097,1.0,7058,0.0
0.0,9157018,1.0,559,0.0
