参数一,参数二,参数三,参数四,参数五
1.0,447932,1.0,36520,0.0
0.0,518313,1.0,33035,1.0
0.0,3671806,1.0,9047,0.0
1.0,2206161,1.0,85386,1.0
1.0,27592,1.0,43807,1.0
0.0,4031687,1.0,30825,1.0
0.0,9230334,1.0,77456,2.0
0.0,5802989,1.0,14053,1.0
1.0,5025522,1.0,84021,0.0
0.0,9642620,1.0,17612,0.0
0.0,1424228,1.0,18448,2.0
1.0,6763116,1.0,79150,1.0
1.0,27730,1.0,6545,1.0
0.0,4773126,1.0,28707,2.0
1.0,4596166,1.0,71098,0.0
1.0,27293,1.0,67379,1.0
1.0,1005081,1.0,34955,2.0
1.0,27940,1.0,24253,1.0
0.0,6949471,1.0,63296,1.0
0.0,4890123,1.0,75269,1.0
1.0,4254464,1.0,61970,2.0
1.0,8919129,1.0,983,1.0
1.0,9084676,1.0,84196,0.0
1.0,27669,1.0,79027,1.0
1.0,27302,1.0,32185,1.0
1.0,27796,1.0,90910,1.0
0.0,124869,1.0,72477,2.0
0.0,2940242,1.0,91547,1.0
0.0,2790427,1.0,75845,2.0
0.0,6785563,1.0,93956,1.0
0.0,3950698,1.0,28911,2.0
0.0,4594217,1.0,9285,1.0
0.0,4917480,1.0,14925,0.0
1.0,27862,1.0,311,1.0
1.0,27310,1.0,76837,1.0
0.0,7459041,1.0,66398,0.0
1.0,27598,1.0,82403,1.0
0.0,3920308,1.0,10303,2.0
0.0,531877,1.0,79146,2.0
1.0,5937248,1.0,3205,0.0
1.0,8420408,1.0,71052,0.0
1.0,27778,1.0,75516,1.0
1.0,27996,1.0,5124,1.0
0.0,7415522,1.0,19633,0.0
1.0,7733243,1.0,86678,1.0
1.0,585861,1.0,71682,2.0
0.0,1042635,1.0,41765,2.0
1.0,27939,1.0,74808,1.0
1.0,7130803,1.0,54964,1.0
1.0,2212586,1.0,87060,0.0
1.0,27737,1.0,78430,1.0
1.0,7062328,1.0,96162,0.0
0.0,2028911,1.0,83558,0.0
